script,expected_key,context_line,actual_available_in_related_npz,status,notes
CalculateShapValues/AttentionAndNoAttention/Bearing_20_0.py,weights,43: weights = np.load('../../ModelTrain/AttentionAndNoAttention/ChannelWeights/ChannelWeights.npz')['weights'],ModelTrain/AttentionAndNoAttention/ChannelWeights/ChannelWeights.npz|ModelTrain/AttentionAndNoAttention/ChannelWeights/Seed_42/Bearing_20_0.npz|ModelTrain/AttentionAndNoAttention/ChannelWeights/Seed_42/Bearing_30_2.npz|ModelTrain/AttentionAndNoAttention/ChannelWeights/Seed_42/Gear_20_0.npz|ModelTrain/AttentionAndNoAttention/ChannelWeights/Seed_42/Gear_30_2.npz|ModelTrain/AttentionAndNoAttention/ChannelWeights/Seed_49/Bearing_20_0.npz|...(+9),found_in_local_npz,
CalculateShapValues/AttentionAndNoAttention/Bearing_30_2.py,weights,42: weights = np.load('../../ModelTrain/AttentionAndNoAttention/ChannelWeights/ChannelWeights.npz')['weights'],ModelTrain/AttentionAndNoAttention/ChannelWeights/ChannelWeights.npz|ModelTrain/AttentionAndNoAttention/ChannelWeights/Seed_42/Bearing_20_0.npz|ModelTrain/AttentionAndNoAttention/ChannelWeights/Seed_42/Bearing_30_2.npz|ModelTrain/AttentionAndNoAttention/ChannelWeights/Seed_42/Gear_20_0.npz|ModelTrain/AttentionAndNoAttention/ChannelWeights/Seed_42/Gear_30_2.npz|ModelTrain/AttentionAndNoAttention/ChannelWeights/Seed_49/Bearing_20_0.npz|...(+9),found_in_local_npz,
CalculateShapValues/AttentionAndNoAttention/Gear_20_0.py,weights,42: weights = np.load('../../ModelTrain/AttentionAndNoAttention/ChannelWeights/ChannelWeights.npz')['weights'],ModelTrain/AttentionAndNoAttention/ChannelWeights/ChannelWeights.npz|ModelTrain/AttentionAndNoAttention/ChannelWeights/Seed_42/Bearing_20_0.npz|ModelTrain/AttentionAndNoAttention/ChannelWeights/Seed_42/Bearing_30_2.npz|ModelTrain/AttentionAndNoAttention/ChannelWeights/Seed_42/Gear_20_0.npz|ModelTrain/AttentionAndNoAttention/ChannelWeights/Seed_42/Gear_30_2.npz|ModelTrain/AttentionAndNoAttention/ChannelWeights/Seed_49/Bearing_20_0.npz|...(+9),found_in_local_npz,
CalculateShapValues/AttentionAndNoAttention/Gear_30_2.py,weights,42: weights = np.load('../../ModelTrain/AttentionAndNoAttention/ChannelWeights/ChannelWeights.npz')['weights'],ModelTrain/AttentionAndNoAttention/ChannelWeights/ChannelWeights.npz|ModelTrain/AttentionAndNoAttention/ChannelWeights/Seed_42/Bearing_20_0.npz|ModelTrain/AttentionAndNoAttention/ChannelWeights/Seed_42/Bearing_30_2.npz|ModelTrain/AttentionAndNoAttention/ChannelWeights/Seed_42/Gear_20_0.npz|ModelTrain/AttentionAndNoAttention/ChannelWeights/Seed_42/Gear_30_2.npz|ModelTrain/AttentionAndNoAttention/ChannelWeights/Seed_49/Bearing_20_0.npz|...(+9),found_in_local_npz,
CalculateShapValues/NoAttention/analysis.py,shap_values,"15: data = np.load(os.path.join(path, file), allow_pickle=True)['shap_values'][:, :, 1:6, :, :]",CalculateShapValues/NoAttention/Seed_42/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_42/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_42/Gear_20_0.npz|CalculateShapValues/NoAttention/Seed_42/Gear_30_2.npz|CalculateShapValues/NoAttention/Seed_49/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_49/Bearing_30_2.npz|...(+14),found_in_local_npz,
CalculateShapValues/NoAttention/total_analysis.py,shap_values,"21: data = np.load(path, allow_pickle=True)['shap_values'][:, :, :, :, :]",CalculateShapValues/NoAttention/Seed_42/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_42/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_42/Gear_20_0.npz|CalculateShapValues/NoAttention/Seed_42/Gear_30_2.npz|CalculateShapValues/NoAttention/Seed_49/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_49/Bearing_30_2.npz|...(+14),found_in_local_npz,
Common/CausalAndDoWhy.py,train_set,"192: train_set = data['train_set'][:, :, 1:, :]",wavelet_dataset/Bearing_20_0.npz|wavelet_dataset/Bearing_30_2.npz|wavelet_dataset/Gear_20_0.npz|wavelet_dataset/Gear_30_2.npz,found_in_local_npz,
Common/CausalAndDoWhy.py,test_set,"193: test_set = data['test_set'][:, :, 1:, :]",wavelet_dataset/Bearing_20_0.npz|wavelet_dataset/Bearing_30_2.npz|wavelet_dataset/Gear_20_0.npz|wavelet_dataset/Gear_30_2.npz,found_in_local_npz,
Common/CausalAndDoWhy.py,valid_set,"194: valid_set = data['valid_set'][:, :, 1:, :]",wavelet_dataset/Bearing_20_0.npz|wavelet_dataset/Bearing_30_2.npz|wavelet_dataset/Gear_20_0.npz|wavelet_dataset/Gear_30_2.npz,found_in_local_npz,
Common/CausalAndDoWhy.py,cross_finetune_set,"195: finetune_set = data['cross_finetune_set'][:, :, 1:, :]",wavelet_dataset/Bearing_20_0.npz|wavelet_dataset/Bearing_30_2.npz|wavelet_dataset/Gear_20_0.npz|wavelet_dataset/Gear_30_2.npz,found_in_local_npz,
Common/CausalAndDoWhy.py,cross_test_set,"196: cross_test_set = data['cross_test_set'][:, :, 1:, :]",wavelet_dataset/Bearing_20_0.npz|wavelet_dataset/Bearing_30_2.npz|wavelet_dataset/Gear_20_0.npz|wavelet_dataset/Gear_30_2.npz,found_in_local_npz,
Common/CausalAndDoWhy.py,train_label,198: train_label = data['train_label'],wavelet_dataset/Bearing_20_0.npz|wavelet_dataset/Bearing_30_2.npz|wavelet_dataset/Gear_20_0.npz|wavelet_dataset/Gear_30_2.npz,found_in_local_npz,
Common/CausalAndDoWhy.py,valid_label,199: valid_label = data['valid_label'],wavelet_dataset/Bearing_20_0.npz|wavelet_dataset/Bearing_30_2.npz|wavelet_dataset/Gear_20_0.npz|wavelet_dataset/Gear_30_2.npz,found_in_local_npz,
Common/CausalAndDoWhy.py,test_label,200: test_label = data['test_label'],wavelet_dataset/Bearing_20_0.npz|wavelet_dataset/Bearing_30_2.npz|wavelet_dataset/Gear_20_0.npz|wavelet_dataset/Gear_30_2.npz,found_in_local_npz,
Common/CausalAndDoWhy.py,cross_finetune_label,201: finetune_label = data['cross_finetune_label'],wavelet_dataset/Bearing_20_0.npz|wavelet_dataset/Bearing_30_2.npz|wavelet_dataset/Gear_20_0.npz|wavelet_dataset/Gear_30_2.npz,found_in_local_npz,
Common/CausalAndDoWhy.py,cross_test_label,202: cross_test_label = data['cross_test_label'],wavelet_dataset/Bearing_20_0.npz|wavelet_dataset/Bearing_30_2.npz|wavelet_dataset/Gear_20_0.npz|wavelet_dataset/Gear_30_2.npz,found_in_local_npz,
Common/LoadDatasets.py,pure_data,281: # bearing_30_2_dict[dict_key] = np.load(path)['pure_data'],DAG/Noise/ball_20_0.npz|DAG/Noise/ball_30_2.npz|DAG/Noise/bearing_normal_20_0.npz|DAG/Noise/bearing_normal_30_2.npz|DAG/Noise/chipped_20_0.npz|DAG/Noise/chipped_30_2.npz|...(+34),found_in_local_npz,
Common/LoadDatasets.py,pure_data,289: # gear_20_0_dict[dict_key] = np.load(path)['pure_data'],DAG/Noise/ball_20_0.npz|DAG/Noise/ball_30_2.npz|DAG/Noise/bearing_normal_20_0.npz|DAG/Noise/bearing_normal_30_2.npz|DAG/Noise/chipped_20_0.npz|DAG/Noise/chipped_30_2.npz|...(+34),found_in_local_npz,
Common/LoadDatasets.py,pure_data,297: # gear_30_2_dict[dict_key] = np.load(path)['pure_data'],DAG/Noise/ball_20_0.npz|DAG/Noise/ball_30_2.npz|DAG/Noise/bearing_normal_20_0.npz|DAG/Noise/bearing_normal_30_2.npz|DAG/Noise/chipped_20_0.npz|DAG/Noise/chipped_30_2.npz|...(+34),found_in_local_npz,
Common/PCDataset(wavelet).py,shap_values,"62: data = np.load(path, allow_pickle=True)['shap_values'][:, :, 0:-1, :, :]",CalculateShapValues/NoAttention/Seed_42/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_42/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_42/Gear_20_0.npz|CalculateShapValues/NoAttention/Seed_42/Gear_30_2.npz|CalculateShapValues/NoAttention/Seed_49/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_49/Bearing_30_2.npz|...(+14),found_in_local_npz,
Common/PCDataset(wavelet).py,all_data,"103: wavelet_data = np.load(wavelet_path)['all_data'][:,:,0:5,:]#(5115,6,5,512)",,missing_from_scanned_npz,potential contract drift: current wavelet exports use split keys rather than all_data/all_labels
Common/PCDataset(wavelet).py,all_labels,104: labels = np.load(wavelet_path)['all_labels'],,missing_from_scanned_npz,potential contract drift: current wavelet exports use split keys rather than all_data/all_labels
Common/PCDataset(wavelet).py,label_mapping,"111: # label_map = np.load(wavelet_path, allow_pickle=True)['label_mapping']",wavelet_dataset/Bearing_20_0.npz|wavelet_dataset/Bearing_30_2.npz|wavelet_dataset/Gear_20_0.npz|wavelet_dataset/Gear_30_2.npz,found_in_local_npz,
Common/PCDataset(wavelet).py,label,137: df['label'] = label_dict[key],,missing_from_scanned_npz,
Common/PCDatasets.py,attention,220: # bear_20_0_shap = np.load(Bearing_20_0_shap_path)['attention'],CalculateShapValues/AttentionAndNoAttention/Seed_42/Bearing_20_0_ShapValues.npz|CalculateShapValues/AttentionAndNoAttention/Seed_42/Bearing_30_2_ShapValues.npz|CalculateShapValues/AttentionAndNoAttention/Seed_42/Gear_20_0_ShapValues.npz|CalculateShapValues/AttentionAndNoAttention/Seed_42/Gear_30_2_ShapValues.npz|CalculateShapValues/AttentionAndNoAttention/Seed_49/Bearing_20_0_ShapValues.npz|CalculateShapValues/AttentionAndNoAttention/Seed_49/Bearing_30_2_ShapValues.npz|...(+6),found_in_local_npz,
Common/PCDatasets.py,attention,221: # bear_30_2_shap = np.load(Bearing_30_2_shap_path)['attention'],CalculateShapValues/AttentionAndNoAttention/Seed_42/Bearing_20_0_ShapValues.npz|CalculateShapValues/AttentionAndNoAttention/Seed_42/Bearing_30_2_ShapValues.npz|CalculateShapValues/AttentionAndNoAttention/Seed_42/Gear_20_0_ShapValues.npz|CalculateShapValues/AttentionAndNoAttention/Seed_42/Gear_30_2_ShapValues.npz|CalculateShapValues/AttentionAndNoAttention/Seed_49/Bearing_20_0_ShapValues.npz|CalculateShapValues/AttentionAndNoAttention/Seed_49/Bearing_30_2_ShapValues.npz|...(+6),found_in_local_npz,
Common/PCDatasets.py,attention,222: # gear_20_0_shap = np.load(Gear_20_0_shap_path)['attention'],CalculateShapValues/AttentionAndNoAttention/Seed_42/Bearing_20_0_ShapValues.npz|CalculateShapValues/AttentionAndNoAttention/Seed_42/Bearing_30_2_ShapValues.npz|CalculateShapValues/AttentionAndNoAttention/Seed_42/Gear_20_0_ShapValues.npz|CalculateShapValues/AttentionAndNoAttention/Seed_42/Gear_30_2_ShapValues.npz|CalculateShapValues/AttentionAndNoAttention/Seed_49/Bearing_20_0_ShapValues.npz|CalculateShapValues/AttentionAndNoAttention/Seed_49/Bearing_30_2_ShapValues.npz|...(+6),found_in_local_npz,
Common/PCDatasets.py,attention,223: # gear_30_2_shap = np.load(Gear_30_2_shap_path)['attention'],CalculateShapValues/AttentionAndNoAttention/Seed_42/Bearing_20_0_ShapValues.npz|CalculateShapValues/AttentionAndNoAttention/Seed_42/Bearing_30_2_ShapValues.npz|CalculateShapValues/AttentionAndNoAttention/Seed_42/Gear_20_0_ShapValues.npz|CalculateShapValues/AttentionAndNoAttention/Seed_42/Gear_30_2_ShapValues.npz|CalculateShapValues/AttentionAndNoAttention/Seed_49/Bearing_20_0_ShapValues.npz|CalculateShapValues/AttentionAndNoAttention/Seed_49/Bearing_30_2_ShapValues.npz|...(+6),found_in_local_npz,
Common/PCDatasets.py,shap_values,"241: #     data = np.load(os.path.join(shap_dir, file))['shap_values']",CalculateShapValues/NoAttention/Seed_42/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_42/Bearing_30_2.npz|CalculateShapValues/NoAttention/Seed_42/Gear_20_0.npz|CalculateShapValues/NoAttention/Seed_42/Gear_30_2.npz|CalculateShapValues/NoAttention/Seed_49/Bearing_20_0.npz|CalculateShapValues/NoAttention/Seed_49/Bearing_30_2.npz|...(+14),found_in_local_npz,
Common/PCDatasets.py,weights,250: weight = np.load('../ModelTrain/AttentionAndNoAttention/ChannelWeights/ChannelWeights.npz')['weights'],ModelTrain/AttentionAndNoAttention/ChannelWeights/ChannelWeights.npz|ModelTrain/AttentionAndNoAttention/ChannelWeights/Seed_42/Bearing_20_0.npz|ModelTrain/AttentionAndNoAttention/ChannelWeights/Seed_42/Bearing_30_2.npz|ModelTrain/AttentionAndNoAttention/ChannelWeights/Seed_42/Gear_20_0.npz|ModelTrain/AttentionAndNoAttention/ChannelWeights/Seed_42/Gear_30_2.npz|ModelTrain/AttentionAndNoAttention/ChannelWeights/Seed_49/Bearing_20_0.npz|...(+9),found_in_local_npz,
Common/PCDatasets.py,pure_data,270: dataset_dict[label] = sample['pure_data'],DAG/Noise/ball_20_0.npz|DAG/Noise/ball_30_2.npz|DAG/Noise/bearing_normal_20_0.npz|DAG/Noise/bearing_normal_30_2.npz|DAG/Noise/chipped_20_0.npz|DAG/Noise/chipped_30_2.npz|...(+34),found_in_local_npz,
Common/PCDatasets.py,pure_data,275: dataset_dict[label] = sample['pure_data'],DAG/Noise/ball_20_0.npz|DAG/Noise/ball_30_2.npz|DAG/Noise/bearing_normal_20_0.npz|DAG/Noise/bearing_normal_30_2.npz|DAG/Noise/chipped_20_0.npz|DAG/Noise/chipped_30_2.npz|...(+34),found_in_local_npz,
Common/PCDatasets.py,label,351: df['label'] = label_cols,,missing_from_scanned_npz,
Common/PCDatasets.py,label,356: df_std['label'] = label_cols,,missing_from_scanned_npz,
Common/PCDatasets.py,label,361: df_normal['label'] = label_cols,,missing_from_scanned_npz,
GNNCausal/CausalGNN.py,train_set,"21: train_set = data['train_set'][:,:,1:,:]#(n1,6,5,512)",wavelet_dataset/Bearing_20_0.npz|wavelet_dataset/Bearing_30_2.npz|wavelet_dataset/Gear_20_0.npz|wavelet_dataset/Gear_30_2.npz,found_in_local_npz,
GNNCausal/CausalGNN.py,test_set,"22: test_set = data['test_set'][:,:,1:,:]#(n2,6,5,512)",wavelet_dataset/Bearing_20_0.npz|wavelet_dataset/Bearing_30_2.npz|wavelet_dataset/Gear_20_0.npz|wavelet_dataset/Gear_30_2.npz,found_in_local_npz,
GNNCausal/CausalGNN.py,valid_set,"23: valid_set = data['valid_set'][:,:,1:,:]#(50,6,5,512)",wavelet_dataset/Bearing_20_0.npz|wavelet_dataset/Bearing_30_2.npz|wavelet_dataset/Gear_20_0.npz|wavelet_dataset/Gear_30_2.npz,found_in_local_npz,
GNNCausal/CausalGNN.py,cross_finetune_set,"24: finetune_set = data['cross_finetune_set'][:,:,1:,:]",wavelet_dataset/Bearing_20_0.npz|wavelet_dataset/Bearing_30_2.npz|wavelet_dataset/Gear_20_0.npz|wavelet_dataset/Gear_30_2.npz,found_in_local_npz,
GNNCausal/CausalGNN.py,cross_test_set,"25: cross_test_set = data['cross_test_set'][:,:,1:,:]",wavelet_dataset/Bearing_20_0.npz|wavelet_dataset/Bearing_30_2.npz|wavelet_dataset/Gear_20_0.npz|wavelet_dataset/Gear_30_2.npz,found_in_local_npz,
GNNCausal/CausalGNN.py,train_label,38: train_label = data['train_label'],wavelet_dataset/Bearing_20_0.npz|wavelet_dataset/Bearing_30_2.npz|wavelet_dataset/Gear_20_0.npz|wavelet_dataset/Gear_30_2.npz,found_in_local_npz,
GNNCausal/CausalGNN.py,valid_label,39: valid_label = data['valid_label'],wavelet_dataset/Bearing_20_0.npz|wavelet_dataset/Bearing_30_2.npz|wavelet_dataset/Gear_20_0.npz|wavelet_dataset/Gear_30_2.npz,found_in_local_npz,
GNNCausal/CausalGNN.py,test_label,40: test_label = data['test_label'],wavelet_dataset/Bearing_20_0.npz|wavelet_dataset/Bearing_30_2.npz|wavelet_dataset/Gear_20_0.npz|wavelet_dataset/Gear_30_2.npz,found_in_local_npz,
GNNCausal/CausalGNN.py,cross_finetune_label,41: finetune_label = data['cross_finetune_label'],wavelet_dataset/Bearing_20_0.npz|wavelet_dataset/Bearing_30_2.npz|wavelet_dataset/Gear_20_0.npz|wavelet_dataset/Gear_30_2.npz,found_in_local_npz,
GNNCausal/CausalGNN.py,cross_test_label,42: cross_test_label = data['cross_test_label'],wavelet_dataset/Bearing_20_0.npz|wavelet_dataset/Bearing_30_2.npz|wavelet_dataset/Gear_20_0.npz|wavelet_dataset/Gear_30_2.npz,found_in_local_npz,
ModelTrain/AttentionAndNoAttention/ChannelWeights/test.py,weights,3: data = np.load('./ChannelWeights.npz')['weights'],ModelTrain/AttentionAndNoAttention/ChannelWeights/ChannelWeights.npz|ModelTrain/AttentionAndNoAttention/ChannelWeights/Seed_42/Bearing_20_0.npz|ModelTrain/AttentionAndNoAttention/ChannelWeights/Seed_42/Bearing_30_2.npz|ModelTrain/AttentionAndNoAttention/ChannelWeights/Seed_42/Gear_20_0.npz|ModelTrain/AttentionAndNoAttention/ChannelWeights/Seed_42/Gear_30_2.npz|ModelTrain/AttentionAndNoAttention/ChannelWeights/Seed_49/Bearing_20_0.npz|...(+9),found_in_local_npz,
ModelTrain/AttentionAndNoAttention/ChannelWeights.py,pure_data,174: dataset_dict[label] = sample['pure_data'],DAG/Noise/ball_20_0.npz|DAG/Noise/ball_30_2.npz|DAG/Noise/bearing_normal_20_0.npz|DAG/Noise/bearing_normal_30_2.npz|DAG/Noise/chipped_20_0.npz|DAG/Noise/chipped_30_2.npz|...(+34),found_in_local_npz,
ModelTrain/AttentionAndNoAttention/ChannelWeights.py,pure_data,178: dataset_dict[label] = sample['pure_data'],DAG/Noise/ball_20_0.npz|DAG/Noise/ball_30_2.npz|DAG/Noise/bearing_normal_20_0.npz|DAG/Noise/bearing_normal_30_2.npz|DAG/Noise/chipped_20_0.npz|DAG/Noise/chipped_30_2.npz|...(+34),found_in_local_npz,
ModelTrain/AttentionAndNoAttention/ConfusionMatrix.py,weights,235: weight = np.load('./ChannelWeights/ChannelWeights.npz')['weights'],ModelTrain/AttentionAndNoAttention/ChannelWeights/ChannelWeights.npz|ModelTrain/AttentionAndNoAttention/ChannelWeights/Seed_42/Bearing_20_0.npz|ModelTrain/AttentionAndNoAttention/ChannelWeights/Seed_42/Bearing_30_2.npz|ModelTrain/AttentionAndNoAttention/ChannelWeights/Seed_42/Gear_20_0.npz|ModelTrain/AttentionAndNoAttention/ChannelWeights/Seed_42/Gear_30_2.npz|ModelTrain/AttentionAndNoAttention/ChannelWeights/Seed_49/Bearing_20_0.npz|...(+9),found_in_local_npz,
ModelTrain/NoAttention/SHAP_freq/Bearing_20_0.py,label_mapping,35: print(sample['label_mapping']),wavelet_dataset/Bearing_20_0.npz|wavelet_dataset/Bearing_30_2.npz|wavelet_dataset/Gear_20_0.npz|wavelet_dataset/Gear_30_2.npz,found_in_local_npz,
ModelTrain/NoAttention/SHAP_freq/Bearing_30_2.py,label_mapping,35: print(sample['label_mapping']),wavelet_dataset/Bearing_20_0.npz|wavelet_dataset/Bearing_30_2.npz|wavelet_dataset/Gear_20_0.npz|wavelet_dataset/Gear_30_2.npz,found_in_local_npz,
ModelTrain/NoAttention/SHAP_freq/Gear_20_0.py,label_mapping,35: print(sample['label_mapping']),wavelet_dataset/Bearing_20_0.npz|wavelet_dataset/Bearing_30_2.npz|wavelet_dataset/Gear_20_0.npz|wavelet_dataset/Gear_30_2.npz,found_in_local_npz,
ModelTrain/NoAttention/SHAP_freq/Gear_30_2.py,label_mapping,35: print(sample['label_mapping']),wavelet_dataset/Bearing_20_0.npz|wavelet_dataset/Bearing_30_2.npz|wavelet_dataset/Gear_20_0.npz|wavelet_dataset/Gear_30_2.npz,found_in_local_npz,
ModelTrain/NoAttention/SHAP_freq/analysis.py,results,20: shap_values = np.load(path)['results'],ModelTrain/NoAttention/SHAP_freq/ShapResults/Bearing_20_0.npz|ModelTrain/NoAttention/SHAP_freq/ShapResults/Bearing_30_2.npz|ModelTrain/NoAttention/SHAP_freq/ShapResults/Gear_20_0.npz|ModelTrain/NoAttention/SHAP_freq/ShapResults/Gear_30_2.npz,found_in_local_npz,
